id,customer_name,email_id,phone_number,transaction_id,order_id,amount,customer_id,entry_time,pay_mode,token,pg_transactionReferenceId,org_id,user_id,workstation_id,location_id,status,return_url,payment_url,routes,short_links,transaction_from,redirect_url,is_refund,parent_id,last_changed_by,last_changed_ip,created_at,updated_at,payment_id,payment_status,link_expiry,expiration_time_stamp,device_name,show_summary,show_receipt,user_id_fkey,nickname,capture,is_void,is_sale,save_payment_method,transaction_action,payment_source,MessageId,platform
43981,Brijesh Singh,NULL,NULL,68vhmg8xdm,m0szxwua,15,9024060540,30-06-26 22:33,paylink,NULL,743dc6df-165a-4442-a562-5436bca281c1,11,NULL,NULL,15,0,NULL,NULL,merchantpay,NULL,internal,NULL,0,NULL,2,1.2.3.4,30-06-26 22:33,30-06-26 23:30,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,SALE,0,NULL,iPhone - IOS - APPLICATION
43980,Brijesh Singh,NULL,NULL,9xs7hkui2x,wzc7xuww,14.24,9024060540,30-06-26 20:53,paylink,NULL,6e8b8246-5419-44b1-8adf-cee10ff1daf1,11,NULL,NULL,15,0,NULL,NULL,merchantpay,NULL,internal,NULL,0,NULL,2,1.2.3.5,30-06-26 20:53,30-06-26 21:49,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,SALE,0,NULL,Android - ANDROID - APPLICATION
43966,Brijesh Singh,NULL,NULL,30440133epek9u,token_order_30440133epek9u,20,9024060540,30-06-26 20:10,paylink,NULL,5116a6d2-0195-4fd9-af10-ddb07113e3a2,11,1,NULL,15,0,NULL,NULL,transaction-request-tokenized,NULL,internal,NULL,0,NULL,2,1.2.3.6,30-06-26 14:40,30-06-26 15:36,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SALE,0,NULL,NULL
43976,Brijesh Singh,NULL,NULL,99zg0lye3l,0r599mew,15,9024060540,30-06-26 18:13,paylink,NULL,1c41098f-ca0d-4294-9600-77f9773111cd,11,NULL,NULL,15,0,NULL,NULL,merchantpay,NULL,internal,NULL,0,NULL,2,1.2.3.7,30-06-26 18:13,30-06-26 19:09,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,SALE,0,NULL,iPhone - IOS - APPLICATION
43942,Brijesh Singh,NULL,NULL,20364725err71n,token_order_20364725err71n,150,9024060540,30-06-26 17:22,paylink,NULL,dc47d20d-0c42-418d-aa4b-c645f3cdfb48,11,1,NULL,15,0,NULL,NULL,transaction-request-tokenized,NULL,internal,NULL,0,NULL,2,1.2.3.8,30-06-26 11:52,30-06-26 12:48,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SALE,0,NULL,NULL
43973,Brijesh Singh,NULL,NULL,5hengp488d,dw3bi6ie,225,9024060540,30-06-26 16:10,paylink,NULL,988c647a-cef7-4be1-b87b-5fb1c8491e10,11,NULL,NULL,15,0,NULL,NULL,merchantpay,NULL,internal,NULL,0,NULL,2,1.2.3.9,30-06-26 16:10,30-06-26 17:07,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,SALE,0,NULL,Android - ANDROID - WEB
43969,Brijesh Singh,NULL,NULL,9rxthylu68,cujl7twu,18,9024060540,30-06-26 15:09,POS,NULL,c962f700-f291-451e-9d55-8707b8dccd57,11,NULL,NULL,15,1,NULL,NULL,merchantpay,NULL,internal,NULL,0,NULL,2,1.2.3.10,30-06-26 15:09,30-06-26 16:05,NULL,FAILURE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,SALE,0,NULL,iPhone - IOS - APPLICATION
43965,Brijesh Singh,NULL,NULL,2dtf7drhfw,ha1ihb0s,1695.07,9024060540,30-06-26 14:39,POS,NULL,032b6213-053d-44e1-8711-c8b37f054f6b,11,NULL,NULL,15,0,NULL,NULL,merchantpay,NULL,internal,NULL,0,NULL,2,1.2.3.11,30-06-26 14:39,30-06-26 15:38,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,SALE,0,NULL,Windows - WEB - WEB
43878,Brijesh Singh,NULL,NULL,9lhkwwfgdj,refund_5pltgjpv,150,9024060540,30-06-26 14:06,POS,NULL,f45436a3-3559-4769-a95e-2d8c474cd4f0,11,NULL,NULL,15,1,NULL,NULL,transaction-request,NULL,internal,NULL,1,1t5xfmlg6y,2,1.2.3.12,30-06-26 8:37,30-06-26 8:37,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
43963,Brijesh Singh,NULL,NULL,9ymyamjh6k,smk818tl,22.5,9024060540,30-06-26 14:00,POS,NULL,087bf8b3-48e7-4847-9987-dc6a38aa4899,11,NULL,NULL,15,0,NULL,NULL,merchantpay,NULL,internal,NULL,0,NULL,2,1.2.3.13,30-06-26 14:00,30-06-26 14:57,NULL,SUCCESS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,SALE,0,NULL,Android - ANDROID - APPLICATION
